,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
293,cap71,100,8,2.6562376022338867,932615.75,932536.3260970731,15,reached dual gap tolerance
294,cap71,100,10,2.6786301136016846,932615.75,932585.84375,19,reached dual gap tolerance
295,cap71,100,12,2.463853120803833,932615.75,932597.3,16,reached dual gap tolerance
296,cap71,100,14,2.59832763671875,932615.75,932535.368771029,17,reached dual gap tolerance
297,cap71,100,16,2.701563596725464,932615.75,932556.0218893973,19,reached dual gap tolerance
298,cap71,100,18,2.9967808723449707,932615.75,932537.6572818973,19,reached dual gap tolerance
299,cap71,100,20,2.702040433883667,932615.75,932539.706085793,19,reached dual gap tolerance
300,cap72,10,2,0.3950662612915039,0.0,0.0,0,unclear if the intergrality property holds
301,cap72,10,4,0.37543296813964844,0.0,0.0,0,unclear if the intergrality property holds
302,cap72,10,6,0.40318870544433594,0.0,0.0,0,unclear if the intergrality property holds
303,cap72,10,8,0.3257119655609131,0.0,0.0,0,unclear if the intergrality property holds
304,cap72,10,10,0.3768138885498047,0.0,0.0,0,unclear if the intergrality property holds
305,cap72,10,12,0.4287087917327881,0.0,0.0,0,unclear if the intergrality property holds
306,cap72,10,14,0.3774223327636719,0.0,0.0,0,unclear if the intergrality property holds
307,cap72,10,16,0.3979172706604004,0.0,0.0,0,unclear if the intergrality property holds
308,cap72,10,18,0.3617875576019287,0.0,0.0,0,unclear if the intergrality property holds
309,cap72,10,20,0.37700319290161133,0.0,0.0,0,unclear if the intergrality property holds
310,cap72,20,2,0.6200830936431885,0.0,0.0,0,unclear if the intergrality property holds
311,cap72,20,4,0.618011474609375,0.0,0.0,0,unclear if the intergrality property holds
312,cap72,20,6,0.5302858352661133,0.0,0.0,0,unclear if the intergrality property holds
313,cap72,20,8,0.6407849788665771,0.0,0.0,0,unclear if the intergrality property holds
314,cap72,20,10,0.4636235237121582,0.0,0.0,0,unclear if the intergrality property holds
315,cap72,20,12,0.6086485385894775,0.0,0.0,0,unclear if the intergrality property holds
316,cap72,20,14,0.6724951267242432,0.0,0.0,0,unclear if the intergrality property holds
317,cap72,20,16,0.5663785934448242,0.0,0.0,0,unclear if the intergrality property holds
